tag,count
untagged,187 
sv_p2,8 
sv_p5,2 
sv_p4,1 
sv_p1,2 
------------------------------
dstport,protocol,count
8080,tcp,48 
0,ipv6,4 
12660,tcp,2 
44020,tcp,1 
12716,tcp,2 
9099,tcp,1 
19026,tcp,1 
12722,tcp,2 
7228,tcp,1 
12706,tcp,2 
12672,tcp,2 
443,tcp,8 
11018,tcp,6 
3460,tcp,1 
80,tcp,16 
19728,tcp,2 
12698,tcp,2 
63990,tcp,1 
12714,tcp,2 
60766,tcp,1 
12684,tcp,2 
85,tcp,1 
65463,tcp,1 
0,icmp,2 
39416,tcp,6 
56300,tcp,1 
27019,udp,1 
13265,tcp,1 
2664,tcp,1 
29680,tcp,2 
41555,tcp,2 
49532,tcp,1 
23122,tcp,1 
2181,tcp,2 
6556,tcp,1 
2638,tcp,1 
51514,tcp,1 
64034,tcp,1 
7574,tcp,1 
161,udp,1 
12874,tcp,1 
20893,tcp,1 
28514,tcp,1 
56918,tcp,1 
33042,tcp,1 
7612,tcp,1 
45798,tcp,1 
22,tcp,1 
59186,tcp,2 
89,tcp,2 
9192,tcp,1 
44242,tcp,1 
10363,tcp,1 
12540,tcp,1 
59362,tcp,1 
10016,tcp,1 
23,tcp,2 
28730,tcp,1 
8554,tcp,1 
11488,tcp,1 
7089,tcp,1 
44346,tcp,1 
5566,tcp,1 
1011,tcp,1 
47422,tcp,1 
2202,tcp,1 
39760,tcp,1 
9214,tcp,1 
49368,tcp,1 
56610,tcp,2 
34713,tcp,2 
8728,tcp,1 
11938,tcp,1 
60520,tcp,1 
12450,tcp,1 
14140,tcp,1 
3306,tcp,1 
33950,tcp,1 
59493,tcp,1 
44524,tcp,1 
7902,tcp,1 
15947,tcp,1 
50437,tcp,1 
9440,tcp,1 
102,tcp,1 
12000,tcp,1 
22881,tcp,1 
9071,tcp,1 
11105,tcp,1 
12146,tcp,1 
41834,tcp,1 
4145,tcp,1 
33333,tcp,1 
16980,tcp,1 
1593,tcp,1 
57466,tcp,1 
25490,tcp,1 
29705,tcp,1 
50203,tcp,1 
30548,tcp,1 
