tag,count
untagged,762 
sv_p1,17 
sv_p2,11 
sv_p5,6 
sv_p4,2 
email,2 
------------------------------
dstport,protocol,count
9307,tcp,1 
9036,tcp,1 
5222,tcp,1 
8805,tcp,1 
8636,tcp,1 
8728,tcp,6 
32070,tcp,1 
8080,tcp,126 
60443,tcp,1 
57556,tcp,1 
8952,tcp,1 
50816,tcp,1 
47762,tcp,1 
7980,tcp,1 
9288,tcp,1 
2761,tcp,1 
9088,tcp,1 
9722,tcp,1 
9421,tcp,1 
44676,tcp,1 
5269,tcp,1 
8015,tcp,1 
12148,tcp,1 
1433,tcp,4 
7179,tcp,1 
4083,tcp,1 
34430,tcp,1 
17934,tcp,1 
7411,tcp,1 
58000,tcp,1 
222,tcp,2 
0,ipv6,6 
23,tcp,17 
1482,tcp,1 
51007,tcp,1 
13743,tcp,1 
57670,tcp,1 
2554,tcp,1 
56970,tcp,1 
49598,tcp,1 
58258,tcp,1 
10554,tcp,1 
8092,tcp,1 
12146,tcp,1 
6580,tcp,1 
1554,tcp,1 
1333,tcp,1 
45727,tcp,1 
8814,tcp,1 
59448,tcp,1 
38471,tcp,1 
4840,tcp,1 
10062,tcp,1 
465,tcp,1 
8080,udp,2 
14522,tcp,1 
42326,tcp,1 
34449,tcp,1 
60990,tcp,1 
11111,tcp,1 
9703,tcp,1 
9443,tcp,3 
106,tcp,3 
21554,tcp,1 
9496,tcp,1 
3703,tcp,1 
9428,tcp,1 
6032,tcp,1 
58734,tcp,1 
37810,udp,1 
34475,tcp,1 
8159,tcp,2 
18120,tcp,1 
5684,udp,1 
80,tcp,10 
58676,tcp,1 
48148,tcp,1 
49988,tcp,1 
50123,tcp,1 
8509,tcp,1 
12022,tcp,1 
56040,tcp,1 
9085,tcp,1 
2082,tcp,1 
58262,tcp,1 
6449,tcp,1 
45033,tcp,1 
45118,tcp,1 
5988,tcp,1 
39542,tcp,1 
11804,tcp,1 
46989,tcp,1 
443,tcp,11 
39764,tcp,1 
58276,tcp,1 
39762,tcp,1 
49398,tcp,1 
39772,tcp,1 
6352,tcp,1 
48150,tcp,2 
9330,tcp,1 
50246,tcp,1 
43090,tcp,1 
35072,tcp,1 
30006,tcp,1 
48846,tcp,1 
2356,tcp,1 
31006,tcp,1 
14024,tcp,1 
49666,tcp,1 
0,icmp,4 
15632,udp,1 
26,tcp,1 
4329,tcp,1 
8899,tcp,1 
36170,tcp,1 
33860,tcp,1 
44252,tcp,1 
1532,tcp,1 
12893,tcp,1 
33592,tcp,1 
35930,tcp,1 
17244,tcp,1 
2323,tcp,1 
2096,tcp,1 
9000,tcp,1 
64964,tcp,1 
14138,tcp,1 
52975,tcp,1 
17350,tcp,1 
50995,tcp,1 
44818,tcp,1 
38037,tcp,1 
49901,tcp,1 
56768,tcp,1 
2435,tcp,1 
9162,tcp,1 
4483,tcp,1 
11211,udp,1 
52333,tcp,1 
1364,tcp,1 
9096,tcp,1 
12718,tcp,1 
48796,tcp,1 
192,tcp,1 
8081,udp,1 
45644,tcp,1 
5940,tcp,1 
2222,tcp,3 
8888,tcp,2 
63904,tcp,1 
13513,tcp,1 
1368,tcp,1 
7776,tcp,1 
54302,tcp,1 
38128,tcp,1 
8056,tcp,1 
4444,tcp,3 
9350,tcp,1 
5781,tcp,1 
18083,tcp,1 
46381,tcp,1 
9876,tcp,1 
8843,tcp,1 
